 
 Метод стрельб

 Itr  z(0)      y(1)      Delta
0.69375  2.00622  2.00621  -0.70968  5.98409397145616E-07
0.70000  2.00173  2.00173  -0.72418  5.98373670168684E-07
0.70625  1.99717  1.99717  -0.73533  5.98353731007251E-07
0.71250  1.99255  1.99255  -0.74309  5.98350335723197E-07
0.71875  1.98789  1.98789  -0.74745  5.98364251924721E-07
0.72500  1.98321  1.98321  -0.74839  5.9839625765612E-07
0.73125  1.97854  1.97854  -0.74592  5.98447142285963E-07
0.73750  1.97390  1.97389  -0.74005  5.98517706063006E-07
0.74375  1.96930  1.96930  -0.73078  5.98608760560282E-07
0.75000  1.96477  1.96477  -0.71814  5.98721128231006E-07
0.75625  1.96033  1.96033  -0.70215  5.98855642852669E-07
0.76250  1.95600  1.95600  -0.68287  5.9901314908295E-07
0.76875  1.95180  1.95180  -0.66034  5.99194503125844E-07
0.77500  1.94775  1.94775  -0.63462  5.99400572731668E-07
0.78125  1.94387  1.94387  -0.60577  5.99632235642744E-07
0.78750  1.94018  1.94018  -0.57388  5.9989038181385E-07
0.79375  1.93670  1.93670  -0.53903  6.00175912524037E-07
0.80000  1.93345  1.93345  -0.50133  6.00489739710497E-07
0.80625  1.93044  1.93044  -0.46088  6.00832785968564E-07
0.81250  1.92770  1.92770  -0.41780  6.01205986550113E-07
0.81875  1.92523  1.92523  -0.37222  6.01610286699028E-07
0.82500  1.92305  1.92305  -0.32429  6.02046642761422E-07
0.83125  1.92118  1.92118  -0.27415  6.02516021963595E-07
0.83750  1.91963  1.91963  -0.22198  6.03019402634075E-07
0.84375  1.91841  1.91841  -0.16795  6.03557774425667E-07
0.85000  1.91753  1.91753  -0.11225  6.04132136983182E-07
0.85625  1.91701  1.91701  -0.05508  6.04743500609572E-07
0.86250  1.91684  1.91684  0.00334  6.05392886932066E-07
0.86875  1.91705  1.91705  0.06279  6.06081327347852E-07
0.87500  1.91763  1.91763  0.12303  6.06809863468172E-07
0.88125  1.91859  1.91859  0.18381  6.07579547562409E-07
0.88750  1.91993  1.91993  0.24486  6.08391441669909E-07
0.89375  1.92165  1.92165  0.30589  6.09246618266113E-07
0.90000  1.92375  1.92375  0.36663  6.10146159152336E-07
0.90625  1.92623  1.92623  0.42675  6.11091155233723E-07
0.91250  1.92908  1.92908  0.48593  6.12082708517647E-07
0.91875  1.93230  1.93230  0.54385  6.13121929227134E-07
0.92500  1.93588  1.93588  0.60014  6.14209936911081E-07
0.93125  1.93980  1.93980  0.65444  6.15347860222215E-07
0.93750  1.94405  1.94405  0.70637  6.16536836473003E-07
0.94375  1.94862  1.94862  0.75554  6.17778012523829E-07
0.95000  1.95349  1.95349  0.80152  6.19072542784593E-07
0.95625  1.95864  1.95864  0.84389  6.20421590546982E-07
0.96250  1.96403  1.96403  0.88221  6.21826327318331E-07
0.96562  1.96682  1.96682  0.89971  6.1907043980014E-07
0.96875  1.96965  1.96965  0.91602  6.17068440122992E-07
0.97187  1.97254  1.97254  0.93108  6.15621947419598E-07
0.97500  1.97547  1.97547  0.94483  6.1458465538955E-07
0.97812  1.97844  1.97844  0.95721  6.13848718078458E-07
0.98125  1.98145  1.98145  0.96815  6.13334676824451E-07
0.98437  1.98449  1.98449  0.97760  6.12984021541862E-07
0.98750  1.98756  1.98756  0.98548  6.12753686013434E-07
0.99062  1.99065  1.99065  0.99173  6.12611990469247E-07
0.99375  1.99376  1.99376  0.99628  6.12535641097978E-07
0.99687  1.99688  1.99688  0.99906  6.12507521813299E-07
1.00000  2.00000  2.00000  1.00000  6.12515058673324E-07

 xI=  0.20
 Метод конечных разностей (явная схема)
 N=8
    t      delta           x:    0.000    0.125    0.250    0.375    0.500    0.625    0.750    0.875    1.000
  0.020         0    0.00000  0.14369  0.28453  0.42011  0.54883  0.67011  0.78453  0.89369  1.00000
  0.039  2.40677952831891E-05    0.00000  0.16238  0.31907  0.46524  0.59768  0.71524  0.81907  0.91238  1.00000
  0.059  7.12873599352237E-05    0.00000  0.18108  0.35363  0.51040  0.64656  0.76040  0.85363  0.93108  1.00000
  0.078  0.000140777532202541    0.00000  0.19980  0.38821  0.55558  0.69545  0.80558  0.88821  0.94980  1.00000
  0.098  0.000231690687553465    0.00000  0.21852  0.42280  0.60077  0.74437  0.85077  0.92280  0.96852  1.00000
  0.117  0.000343211462244475    0.00000  0.23725  0.45740  0.64598  0.79331  0.89598  0.95740  0.98725  1.00000
  0.137  0.000474555525466602    0.00000  0.25598  0.49202  0.69122  0.84227  0.94122  0.99202  1.00598  1.00000
  0.156  0.000624968398224679    0.00000  0.27472  0.52666  0.73647  0.89125  0.98647  1.02666  1.02472  1.00000
  0.176  0.000793724317170508    0.00000  0.29348  0.56130  0.78174  0.94025  1.03174  1.06130  1.04348  1.00000
  0.195  0.000980125141678667    0.00000  0.31223  0.59596  0.82702  0.98926  1.07702  1.09596  1.06223  1.00000
  0.215  0.00118349930251904    0.00000  0.33100  0.63063  0.87232  1.03829  1.12232  1.13063  1.08100  1.00000
  0.234  0.00140320079054335    0.00000  0.34977  0.66531  0.91763  1.08734  1.16763  1.16531  1.09977  1.00000
  0.254  0.00163860818386263    0.00000  0.36854  0.70001  0.96296  1.13640  1.21296  1.20001  1.11854  1.00000
  0.273  0.00188912371205019    0.00000  0.38732  0.73471  1.00830  1.18548  1.25830  1.23471  1.13732  1.00000
  0.293  0.00215417235596149    0.00000  0.40611  0.76942  1.05366  1.23458  1.30366  1.26942  1.15611  1.00000
  0.313  0.0024332009818151    0.00000  0.42490  0.80415  1.09903  1.28368  1.34903  1.30415  1.17490  1.00000
  0.332  0.0027256775082305    0.00000  0.44370  0.83888  1.14441  1.33280  1.39441  1.33888  1.19370  1.00000
  0.352  0.00303109010496883    0.00000  0.46250  0.87362  1.18980  1.38194  1.43980  1.37362  1.21250  1.00000
  0.371  0.0033489464221701    0.00000  0.48131  0.90838  1.23521  1.43108  1.48521  1.40838  1.23131  1.00000
  0.391  0.00367877284892471    0.00000  0.50012  0.94314  1.28062  1.48024  1.53062  1.44314  1.25012  1.00000
  0.410  0.00402011380006506    0.00000  0.51894  0.97790  1.32605  1.52941  1.57605  1.47790  1.26894  1.00000
  0.430  0.00437253103010149    0.00000  0.53776  1.01268  1.37149  1.57859  1.62149  1.51268  1.28776  1.00000
  0.449  0.00473560297327058    0.00000  0.55658  1.04746  1.41694  1.62778  1.66694  1.54746  1.30658  1.00000
